cleaned_method,target_block,tokens_in_method
"def get_command_modules_paths(include_prefix=False):
    glob_pattern = os.path.normcase(
        ""/src/command_modules/{}*/setup.py"".format(COMMAND_MODULE_PREFIX)
    )
    for path in glob.glob(get_repo_root() + glob_pattern):
        folder = os.path.dirname(path)
        name = os.path.basename(folder)
        if not include_prefix:
            name = name[len(COMMAND_MODULE_PREFIX) :]
        yield name, folder
",if not include_prefix :,133
"def remove_firewall_rule(
    self,
    rule=""allowedprogram"",
    name=""Firewall"",
    mode=""ENABLE"",
    program=sys.executable,
    **kwargs
):
    netsh_args = {""program"": program}
    netsh_args.update(kwargs)
    try:
        if _run_netsh_cmd(""firewall delete %s"" % rule, netsh_args):
            if name in self._rules:
                del self._rules[name]
            return True
        else:
            return False
    except:
        return None
","if _run_netsh_cmd ( ""firewall delete %s"" % rule , netsh_args ) :",149
"def check_ini_installed():
    """"""Raise if no GNOME Shell ini file for Quod Libet is found""""""
    quodlibet_installed = False
    for path in get_gs_provider_files():
        try:
            with open(path, ""rb"") as handle:
                data = handle.read().decode(""utf-8"", ""replace"")
                if SearchProvider.BUS_NAME in data:
                    quodlibet_installed = True
                    break
        except EnvironmentError:
            pass
    if not quodlibet_installed:
        raise PluginImportException(
            _(""No GNOME Shell search provider for "" ""Quod Libet installed."")
        )
",if SearchProvider . BUS_NAME in data :,182
"def delete_rules(chain_name, rules):
    log.debug(f""deleting rules from {chain_name}: {rules}"")
    table = iptc.Table(iptc.Table.FILTER)
    with iptables_txn(table):
        chain = iptc.Chain(table, chain_name)
        for potential_rule in chain.rules:
            if Rule.from_iptc(potential_rule) in rules:
                chain.delete_rule(potential_rule)
",if Rule . from_iptc ( potential_rule ) in rules :,119
"def __gt__(self, other):
    if isinstance(other, tuple):
        return super().__gt__(other)
    try:
        if self.atEnd == 1 and other != INFINITY:
            return True
        elif self.atEnd == 1:
            return False
        else:
            return self.offset > other
    except ValueError:
        return NotImplemented
",elif self . atEnd == 1 :,98
"def test_related_objects_include_hidden_local_only(self):
    result_key = ""get_all_related_objects_with_model_hidden_local""
    for model, expected in TEST_RESULTS[result_key].items():
        objects = [
            (field, self._model(model, field))
            for field in model._meta.get_fields(
                include_hidden=True, include_parents=False
            )
            if field.auto_created and not field.concrete
        ]
        self.assertEqual(
            sorted(self._map_names(objects), key=self.key_name),
            sorted(expected, key=self.key_name),
        )
",if field . auto_created and not field . concrete,183
"def _cpu_stats(self):
    import psutil
    percents = psutil.cpu_percent(None, True)
    stats = {}
    if self._cpu_percent_init:
        i = 0
        for percent in percents:
            stats[""sys/cpu%i/util"" % i] = percent / 100
            i += 1
        if percents:
            stats[""sys/cpu/util""] = sum(percents) / len(percents) / 100
    self._cpu_percent_init = True
    return stats
",if percents :,130
"def select(self, limit=0):
    """"""Match all tags under the targeted tag.""""""
    if limit < 1:
        limit = None
    for child in self.get_descendants(self.tag):
        if self.match(child):
            yield child
            if limit is not None:
                limit -= 1
                if limit < 1:
                    break
",if limit < 1 :,100
"def iterate(self, handle):
    """"""Iterate over the records in the XML file.""""""
    parser = self.parser
    content_handler = parser.getContentHandler()
    records = content_handler.records
    BLOCK = self.BLOCK
    while True:
        if len(records) > 1:
            # Then at least the first record is finished
            record = records.pop(0)
            yield record
        # Read in another block of the file...
        text = handle.read(BLOCK)
        if not text:
            break
        parser.feed(text)
    # We have reached the end of the XML file;
    # send out the remaining records
    yield from records
    records.clear()
    parser.close()
",if len ( records ) > 1 :,184
"def append(self, frame, ts=None):
    assert ts is None or len(self._frame_ts) == 0 or ts > self._frame_ts[-1]
    self._frames.append(frame)
    self._next_frame_to_read = len(self._frames)
    if ts is None:
        if len(self._frame_ts) > 0:
            self._frame_ts.append(self._frame_ts[-1] + 1000.0 / self.fps)
        else:
            self._frame_ts.append(0.0)
    else:
        self._frame_ts.append(ts)
",if len ( self . _frame_ts ) > 0 :,157
"def map_volumes_to_size(volumes):
    primary_manifestations = {}
    for volume in volumes:
        if volume.node_id == self.volume_service.node_id:
            # FLOC-1240 non-primaries should be added in too
            path = volume.get_filesystem().get_path()
            primary_manifestations[path] = (
                volume.name.dataset_id,
                volume.size.maximum_size,
            )
    return primary_manifestations
",if volume . node_id == self . volume_service . node_id :,133
"def setUp(self):
    super(CompleterTest, self).setUp()
    # directories must end with os.sep for completer to
    # search inside the directory for possible completions
    if self.tempdir[-1] != os.sep:
        self.tempdir += os.sep
    self.paths = []  # type: List[str]
    # create some files and directories in temp_dir
    for c in string.ascii_lowercase:
        path = os.path.join(self.tempdir, c)
        self.paths.append(path)
        if ord(c) % 2:
            filesystem.mkdir(path)
        else:
            with open(path, ""w""):
                pass
",if ord ( c ) % 2 :,174
"def pretty_list(items, cols=3):
    text = []
    width = 24
    col_width = u""{"" + u"":<"" + str(width) + u""} ""
    for i, lang in enumerate(items):
        lang = lang.decode(u""utf-8"")
        if len(lang) > width:
            lang = lang[: width - 3] + ""...""
        text.append(u""{:>3}. "".format(i + 1))
        text.append(col_width.format(lang))
        if (i + 1) % cols == 0:
            text.append(u""\n"")
    return u"""".join(text)
",if ( i + 1 ) % cols == 0 :,165
"def to_representation(self, obj):
    serializer_class = self.get_sub_serializer(obj)
    if serializer_class:
        serializer = serializer_class(instance=obj, context=self.context)
        # preserve links for list view
        if self.parent:
            serializer.parent = self.parent
            serializer.polymorphic_base = self
            # capabilities prefetch is only valid for these models
            if isinstance(obj, (JobTemplate, WorkflowJobTemplate)):
                serializer.capabilities_prefetch = self._capabilities_prefetch
            else:
                serializer.capabilities_prefetch = None
        return serializer.to_representation(obj)
    else:
        return super(UnifiedJobTemplateSerializer, self).to_representation(obj)
","if isinstance ( obj , ( JobTemplate , WorkflowJobTemplate ) ) :",193
"def state_DEVAD(self, mdio):
    if self.devad == -1:
        self.devad = 0
        if self.clause45:
            prtad = [""PRTAD: %02d"" % self.portad, ""PRT"", ""P""]
        else:
            prtad = [""PHYAD: %02d"" % self.portad, ""PHY"", ""P""]
        self.putff([2, prtad])
        self.ss_frame_field = self.samplenum
    self.devad_bits -= 1
    self.devad |= mdio << self.devad_bits
    if not self.devad_bits:
        self.state = ""TA""
",if self . clause45 :,183
"def colorDiffRow(self, c, row, v):
    if not row:
        return
    baseval = row[self.basenum + 1]
    for c in self.columns[1:]:
        v = c.getValue(row)
        if v != baseval:
            if baseval is None:
                return ""green""  # addition
            elif v is None:
                return ""red""  # deletion
            else:
                return ""yellow""  # difference
",if baseval is None :,131
"def _get_ntp_entity(self, peer_type):
    ntp_entities = {}
    command = ""show ntp peers""
    output = self._send_command(command)
    for line in output.splitlines():
        # Skip first two lines and last line of command output
        if line == """" or ""-----"" in line or ""Peer IP Address"" in line:
            continue
        elif IPAddress(len(line.split()[0])).is_unicast:
            peer_addr = line.split()[0]
            ntp_entities[peer_addr] = {}
        else:
            raise ValueError(""Did not correctly find a Peer IP Address"")
    return ntp_entities
","if line == """" or ""-----"" in line or ""Peer IP Address"" in line :",176
"def getExpandedPath(playerPath):
    if not os.path.isfile(playerPath):
        if os.path.isfile(playerPath + ""mplayer.exe""):
            playerPath += ""mplayer.exe""
            return playerPath
        elif os.path.isfile(playerPath + ""\\mplayer.exe""):
            playerPath += ""\\mplayer.exe""
            return playerPath
    if os.access(playerPath, os.X_OK):
        return playerPath
    for path in os.environ[""PATH""].split("":""):
        path = os.path.join(os.path.realpath(path), playerPath)
        if os.access(path, os.X_OK):
            return path
","elif os . path . isfile ( playerPath + ""\\mplayer.exe"" ) :",181
"def main():
    args = parser.parse_args()
    print_arguments(args)
    check_gpu(args.use_gpu)
    if args.profile:
        if args.use_gpu:
            with profiler.cuda_profiler(""cuda_profiler.txt"", ""csv"") as nvprof:
                train(args)
        else:
            with profiler.profiler(""CPU"", sorted_key=""total"") as cpuprof:
                train(args)
    else:
        train(args)
",if args . use_gpu :,134
"def add_actions(self, lst, sched_id):
    for a in lst:
        # First we look if we do not already have it, if so
        # do nothing, we are already working!
        if a.id in self.schedulers[sched_id][""actions""]:
            continue
        a.sched_id = sched_id
        a.status = ""queue""
        self.assign_to_a_queue(a)
","if a . id in self . schedulers [ sched_id ] [ ""actions"" ] :",114
"def _create_data_from_iob(data_path, separator):
    with open(data_path, encoding=""utf-8"") as input_file:
        columns = []
        for line in input_file:
            line = line.strip()
            if line == """":
                if columns:
                    yield columns
                columns = []
            else:
                for i, column in enumerate(line.split(separator)):
                    if len(columns) < i + 1:
                        columns.append([])
                    columns[i].append(column)
        if len(columns) > 0:
            yield columns
",if len ( columns ) > 0 :,177
"def _mock_set_magics(self):
    these_magics = _magics
    if self._mock_methods is not None:
        these_magics = _magics.intersection(self._mock_methods)
        remove_magics = set()
        remove_magics = _magics - these_magics
        for entry in remove_magics:
            if entry in type(self).__dict__:
                # remove unneeded magic methods
                delattr(self, entry)
    # don't overwrite existing attributes if called a second time
    these_magics = these_magics - set(type(self).__dict__)
    _type = type(self)
    for entry in these_magics:
        setattr(_type, entry, MagicProxy(entry, self))
",if entry in type ( self ) . __dict__ :,194
"def TryMerge(self, d):
    while d.avail() > 0:
        tt = d.getVarInt32()
        if tt == 10:
            self.add_blob_key(d.getPrefixedString())
            continue
        if tt == 0:
            raise ProtocolBuffer.ProtocolBufferDecodeError
        d.skipData(tt)
",if tt == 0 :,92
"def restart_with_reloader(argv):
    args = [sys.executable] + argv
    while True:
        new_environ = os.environ.copy()
        new_environ[""RUN_MAIN_CELERY""] = ""true""
        exit_code = subprocess.call(args, env=new_environ)
        if exit_code != 3:
            return exit_code
",if exit_code != 3 :,96
"def batch_load_fn(self, keys: Iterable[K]) -> Promise[List[R]]:
    with opentracing.global_tracer().start_active_span(
        self.__class__.__name__
    ) as scope:
        span = scope.span
        span.set_tag(opentracing.tags.COMPONENT, ""dataloaders"")
        results = self.batch_load(keys)
        if not isinstance(results, Promise):
            return Promise.resolve(results)
        return results
","if not isinstance ( results , Promise ) :",119
"def set_path(self):
    """"""Set consoles PYTHONPATH if changed by the user""""""
    from spyderlib.widgets.externalshell import pythonshell
    for sw in self.shellwidgets:
        if isinstance(sw, pythonshell.ExternalPythonShell):
            if sw.is_interpreter and sw.is_running():
                sw.path = self.main.get_spyder_pythonpath()
                sw.shell.path = sw.path
",if sw . is_interpreter and sw . is_running ( ) :,114
"def testCopyAndDeepcopy(self):
    # Test copying all objects defined in this module
    import copy
    import sys
    import types
    for part in sys.modules[self.__module__].__dict__:
        match = False
        for skip in [""_"", ""__"", ""Test"", ""Exception"", ""MotionType""]:
            if part.startswith(skip) or part.endswith(skip):
                match = True
        if match:
            continue
        obj = getattr(sys.modules[self.__module__], part)
        # noinspection PyTypeChecker
        if callable(obj) and not isinstance(obj, types.FunctionType):
            copy.copy(obj)
            copy.deepcopy(obj)
",if part . startswith ( skip ) or part . endswith ( skip ) :,174
"def list_themes(v=False):
    """"""Display the list of the themes""""""
    for t, l in themes():
        if not v:
            t = os.path.basename(t)
        if l:
            if v:
                print(t + ("" (symbolic link to `"" + l + ""')""))
            else:
                print(t + ""@"")
        else:
            print(t)
",if l :,113
"def _hasIPv6(self):  # pragma: nocover
    if not socket.has_ipv6:
        return False
    try:
        socket.getaddrinfo(
            ""::1"",
            0,
            socket.AF_UNSPEC,
            socket.SOCK_STREAM,
            socket.IPPROTO_TCP,
            socket.AI_PASSIVE | socket.AI_ADDRCONFIG,
        )
        return True
    except socket.gaierror as e:
        # Check to see what the error is
        if e.errno == socket.EAI_ADDRFAMILY:
            return False
        else:
            raise e
",if e . errno == socket . EAI_ADDRFAMILY :,170
"def check_distribution_strategy():
    if tf.distribute.has_strategy():
        strategy = tf.distribute.get_strategy()
        if not isinstance(strategy, _SUPPORTED_STRATEGIES):
            raise ValueError(
                ""Sonnet optimizers are not compatible with `{}`. ""
                ""Please use one of `{}` instead."".format(
                    strategy.__class__.__name__,
                    ""`, `"".join(s.__name__ for s in _SUPPORTED_STRATEGIES),
                )
            )
","if not isinstance ( strategy , _SUPPORTED_STRATEGIES ) :",132
"def _process_attributes(self, node, items):
    attributes = []
    for child in items:
        if child.tag in (tags.attribute, tags.attributeGroup, tags.anyAttribute):
            attribute = self.process(child, node)
            attributes.append(attribute)
        else:
            raise self._create_error(""Unexpected tag `%s`"" % (child.tag), node)
    return attributes
","if child . tag in ( tags . attribute , tags . attributeGroup , tags . anyAttribute ) :",105
"def _verify_signature(
    self, payload, signing_input, header, signature, key="""", algorithms=None
):
    alg = header.get(""alg"")
    if algorithms is not None and alg not in algorithms:
        raise InvalidAlgorithmError(""The specified alg value is not allowed"")
    try:
        alg_obj = self._algorithms[alg]
        key = alg_obj.prepare_key(key)
        if not alg_obj.verify(signing_input, key, signature):
            raise InvalidSignatureError(""Signature verification failed"")
    except KeyError:
        raise InvalidAlgorithmError(""Algorithm not supported"")
","if not alg_obj . verify ( signing_input , key , signature ) :",147
"def visit_Import(self, node):
    # type: (ast.Import) -> None
    for child in node.names:
        if isinstance(child, ast.alias):
            import_name = child.name
            if import_name == self._SDK_PACKAGE:
                self._set_inferred_type_for_name(import_name, Boto3ModuleType())
    self.generic_visit(node)
","if isinstance ( child , ast . alias ) :",105
"def GeneratePageMetatadata(self, proc):
    address_space = self.session.GetParameter(""default_address_space"")
    for map in proc.task.map.hdr.walk_list(""links.next"", include_current=False):
        start = map.links.start
        end = map.links.end
        # Skip the entire region.
        if end < self.plugin_args.start:
            continue
        # Done.
        if start > self.plugin_args.end:
            break
        for vaddr in utils.xrange(start, end, 0x1000):
            if self.plugin_args.start <= vaddr <= self.plugin_args.end:
                yield vaddr, self._CreateMetadata(address_space.describe_vtop(vaddr))
",if start > self . plugin_args . end :,200
"def subhelp_macro(self, macro_name):
    if macro_name in self.macros.keys():
        macro_def = self.macros[macro_name]
        if ""\n"" in macro_def:
            self.log(""Macro '"" + macro_name + ""' defined as:"")
            self.log(self.macros[macro_name] + ""----------------"")
        else:
            self.log(""Macro '"" + macro_name + ""' defined as: '"" + macro_def + ""'"")
    else:
        self.logError(""Macro '"" + macro_name + ""' is not defined"")
","if ""\n"" in macro_def :",147
"def get_path_pairs(folder, split_f):
    img_paths = []
    mask_paths = []
    with open(split_f, ""r"") as lines:
        for line in tqdm(lines):
            ll_str = re.split(""\t"", line)
            imgpath = os.path.join(folder, ll_str[0].rstrip())
            maskpath = os.path.join(folder, ll_str[1].rstrip())
            if os.path.isfile(maskpath):
                img_paths.append(imgpath)
                mask_paths.append(maskpath)
            else:
                print(""cannot find the mask:"", maskpath)
    return img_paths, mask_paths
",if os . path . isfile ( maskpath ) :,186
"def instant_defaults_listener(target, args, kwargs):
    for key, column in sa.inspect(target.__class__).columns.items():
        if hasattr(column, ""default"") and column.default is not None:
            if callable(column.default.arg):
                setattr(target, key, column.default.arg(target))
            else:
                setattr(target, key, column.default.arg)
",if callable ( column . default . arg ) :,107
"def stat_f(filename, ignore_EACCES=False):
    """"""Call os.stat(), but don't die if the file isn't there. Returns None.""""""
    try:
        return os.stat(filename)
    except OSError as e:
        if e.errno in (errno.ENOENT, errno.ENOTDIR):
            return None
        if ignore_EACCES and e.errno == errno.EACCES:
            return None
        raise
","if e . errno in ( errno . ENOENT , errno . ENOTDIR ) :",114
"def __init__(self, noteList):
    super().__init__()
    self._noteList = []
    for value in noteList:
        if value is None:
            self._noteList.append(None)
        elif isinstance(value, str):
            self._noteList.append(note.Note(value))
        else:
            try:
                if value.isClassOrSubclass([note.Note, pitch.Pitch]):
                    self._noteList.append(value)
            except (AttributeError, NameError):
                self._noteList.append(None)
","if value . isClassOrSubclass ( [ note . Note , pitch . Pitch ] ) :",153
"def place(btn):
    """"""get item from stack, and put it in the right place""""""
    if len(remove_stack) == 0:
        app.bell()
    else:
        f = remove_stack.pop()
        if btn == p[0]:
            f.grid(row=0, column=0, sticky=""NEWS"")
        elif btn == p[1]:
            f.grid(row=0, column=1, sticky=""NEWS"")
        elif btn == p[2]:
            f.grid(row=1, column=0, sticky=""NEWS"")
        elif btn == p[3]:
            f.grid(row=1, column=1, sticky=""NEWS"")
",elif btn == p [ 1 ] :,177
"def _apply_color_overlay(self, layer, color, shape, alpha):
    for effect in layer.effects.find(""coloroverlay""):
        color, shape_e = draw_solid_color_fill(layer.bbox, effect.value)
        color = paste(self._viewport, layer.bbox, color, 1.0)
        if shape_e is None:
            shape_e = np.ones((self.height, self.width, 1), dtype=np.float32)
        else:
            shape_e = paste(self._viewport, layer.bbox, shape_e)
        opacity = effect.opacity / 100.0
        self._apply_source(
            color, shape * shape_e, alpha * shape_e * opacity, effect.blend_mode
        )
",if shape_e is None :,197
"def processTopTree(self, p, justOneFile=False):
    current = p.copy()
    for p in current.self_and_parents():
        h = p.h
        if h.startswith(""@rst"") and not h.startswith(""@rst-""):
            self.processTree(
                p,
                ext=None,
                toString=False,
                justOneFile=justOneFile,
            )
            break
    else:
        self.processTree(
            current,
            ext=None,
            toString=False,
            justOneFile=justOneFile,
        )
    g.blue(""done"")
","if h . startswith ( ""@rst"" ) and not h . startswith ( ""@rst-"" ) :",180
"def __mul__(self, factor):
    f1 = self._value
    f2 = factor._value
    # Make sure that f2 is the smallest, to speed up the loop
    if f2 > f1:
        f1, f2 = f2, f1
    if self.irr_poly in (f1, f2):
        return _Element(0)
    mask1 = 2 ** 128
    v, z = f1, 0
    while f2:
        if f2 & 1:
            z ^= v
        v <<= 1
        if v & mask1:
            v ^= self.irr_poly
        f2 >>= 1
    return _Element(z)
",if f2 & 1 :,174
"def get_blacklist(self, guild: Optional[discord.Guild] = None) -> Set[int]:
    async with self._access_lock:
        ret: Set[int]
        gid: Optional[int] = guild.id if guild else None
        if gid in self._cached_blacklist:
            ret = self._cached_blacklist[gid].copy()
        else:
            if gid is not None:
                ret = set(await self._config.guild_from_id(gid).blacklist())
            else:
                ret = set(await self._config.blacklist())
            self._cached_blacklist[gid] = ret.copy()
        return ret
",if gid in self . _cached_blacklist :,177
"def to_internal_value(self, data):
    try:
        if isinstance(data, (list, tuple)):
            return super(StringListBooleanField, self).to_internal_value(data)
        elif data in NullBooleanField.TRUE_VALUES:
            return True
        elif data in NullBooleanField.FALSE_VALUES:
            return False
        elif data in NullBooleanField.NULL_VALUES:
            return None
        elif isinstance(data, str):
            return self.child.run_validation(data)
    except TypeError:
        pass
    self.fail(""type_error"", input_type=type(data))
",elif data in NullBooleanField . TRUE_VALUES :,159
"def execute():
    for wo in frappe.db.sql(
        """"""select name from `tabWork Order` where docstatus < 2"""""", as_dict=1
    ):
        work_order = frappe.get_doc(""Work Order"", wo.name)
        if work_order.operations:
            work_order.flags.ignore_validate_update_after_submit = True
            work_order.calculate_time()
            work_order.save()
",if work_order . operations :,120
"def return_load_handlers(filename, del_file_after_loading=True):
    if os.path.isfile(filename) and os.path.getsize(filename) > 0:
        with open(filename, ""rb"") as file:
            if apihelper.CUSTOM_SERIALIZER is None:
                handlers = pickle.load(file)
            else:
                handlers = apihelper.CUSTOM_SERIALIZER.load(file)
        if del_file_after_loading:
            os.remove(filename)
        return handlers
",if apihelper . CUSTOM_SERIALIZER is None :,139
"def setUp(self):
    BaseTestCase.setUp(self)
    self.rawData = []
    self.dataByKey = {}
    for i in range(1, 11):
        unicodeCol = u""Unicode \u3042 %d"" % i
        fixedCharCol = (u""Fixed Unicode %d"" % i).ljust(40)
        if i % 2:
            nullableCol = u""Nullable %d"" % i
        else:
            nullableCol = None
        dataTuple = (i, unicodeCol, fixedCharCol, nullableCol)
        self.rawData.append(dataTuple)
        self.dataByKey[i] = dataTuple
",if i % 2 :,165
"def upgrade(ver, session):
    if ver is None:
        columns = table_columns(""make_rss"", session)
        if ""rsslink"" not in columns:
            log.info(""Adding rsslink column to table make_rss."")
            table_add_column(""make_rss"", ""rsslink"", String, session)
        ver = 0
    return ver
","if ""rsslink"" not in columns :",92
"def setlist(self):
    self.list.LDelRow(0, 0)
    self.list.LSetDrawingMode(0)
    if self.contents:
        self.list.LAddRow(len(self.contents), 0)
        for i in range(len(self.contents)):
            v = repr(self.contents[i][0])
            if self.contents[i][1]:
                v = v + '""' + self.contents[i][1] + '""'
            self.list.LSetCell(v, (0, i))
    self.list.LSetDrawingMode(1)
    self.list.LUpdate(self.wid.GetWindowPort().visRgn)
",if self . contents [ i ] [ 1 ] :,180
"def onStatusChanged(self, provider, status, extras):
    if self.root.on_status:
        s_status = ""unknown""
        if status == 0x00:
            s_status = ""out-of-service""
        elif status == 0x01:
            s_status = ""temporarily-unavailable""
        elif status == 0x02:
            s_status = ""available""
        self.root.on_status(""provider-status"", ""{}: {}"".format(provider, s_status))
",elif status == 0x02 :,130
"def weight_initialization(self):
    for m in self.modules():
        if isinstance(m, ME.MinkowskiBatchNorm):
            nn.init.constant_(m.bn.weight, 1)
            nn.init.constant_(m.bn.bias, 0)
","if isinstance ( m , ME . MinkowskiBatchNorm ) :",69
"def _find_best_version(self):
    versions_by_size = order_versions_in_descending_order(self.available_versions)
    if self.version == ""latest"":
        self.version = versions_by_size[0]
    version_constraints = get_version_constraints(self.version)
    num_of_matches = 0
    for version in versions_by_size:
        for version_constraint in version_constraints:
            if not version_constraint.versions_matching(version):
                break
            else:
                num_of_matches += 1
        if num_of_matches == len(version_constraints):
            return version
        else:
            num_of_matches = 0
    return ""latest""
",if not version_constraint . versions_matching ( version ) :,192
"def _nickname(self, ctx: commands.Context, *, nickname: str = None):
    """"""Sets [botname]'s nickname.""""""
    try:
        if nickname and len(nickname) > 32:
            await ctx.send(
                _(""Failed to change nickname. Must be 32 characters or fewer."")
            )
            return
        await ctx.guild.me.edit(nick=nickname)
    except discord.Forbidden:
        await ctx.send(_(""I lack the permissions to change my own nickname.""))
    else:
        await ctx.send(_(""Done.""))
",if nickname and len ( nickname ) > 32 :,152
"def execute(self):
    if self._qr is None:
        if self._tuples:
            ResultWrapper = TuplesQueryResultWrapper
        elif self._dicts:
            ResultWrapper = DictQueryResultWrapper
        else:
            ResultWrapper = NaiveQueryResultWrapper
        self._qr = ResultWrapper(self.model_class, self._execute(), None)
    return self._qr
",if self . _tuples :,97
"def to_match_ip(value):
    if ""/"" in value:
        (ip_addr, ip_mask) = value.split(""/"")
        if ip_mask.isdigit():
            ip = netaddr.ip.IPNetwork(value)
            ip_addr = str(ip.ip)
            ip_mask = str(ip.netmask)
        return ip_addr, ip_mask
    return value
",if ip_mask . isdigit ( ) :,104
"def correct(self):
    for A in self.circles:
        intersects = False
        for B in self.circles:
            if A != B:
                radsq = (A.r + B.r) * (A.r + B.r)
                d = A.sqdist_o(B)
                if radsq > d:
                    intersects = True
                    break
        if not intersects:
            A.x = A.ox
            A.y = A.oy
",if A != B :,145
"def py_info_clear(self):
    """"""""""""
    py_info_folder = self.py_info_at
    with py_info_folder:
        for filename in py_info_folder.path.iterdir():
            if filename.suffix == "".json"":
                with py_info_folder.lock_for_key(filename.stem):
                    if filename.exists():
                        filename.unlink()
","if filename . suffix == "".json"" :",111
"def _dom_node(self, domroot):
    element = domroot.createElement(self.tagname)
    for attribute, value in self.attlist():
        if isinstance(value, list):
            value = "" "".join([serial_escape(""%s"" % (v,)) for v in value])
        element.setAttribute(attribute, ""%s"" % value)
    for child in self.children:
        element.appendChild(child._dom_node(domroot))
    return element
","if isinstance ( value , list ) :",116
"def remove_empty_lines(content):
    try:
        if content[0] == ""\n"":
            content = content[1 : content.rfind(""\n"")]
        if content[-1] == ""\n"":
            content = content[: content.rfind(""\n"")]
    except IndexError:
        pass
    return content
","if content [ 0 ] == ""\n"" :",81
"def expandNode(self, node):
    event = self.getEvent()
    parents = [node]
    while event:
        token, cur_node = event
        if cur_node is node:
            return
        if token != END_ELEMENT:
            parents[-1].appendChild(cur_node)
        if token == START_ELEMENT:
            parents.append(cur_node)
        elif token == END_ELEMENT:
            del parents[-1]
        event = self.getEvent()
",if token != END_ELEMENT :,130
"def iter_pairs(items, wrap, repeat=False):
    if not items:
        return
    while True:
        for i0, i1 in zip(items[:-1], items[1:]):
            yield i0, i1
        if wrap:
            yield items[-1], items[0]
        if not repeat:
            return
",if wrap :,90
"def fix_value_info(value):
    num_fixed = 0
    if value.type.HasField(""tensor_type""):
        shape = value.type.tensor_type.shape
        if shape:
            dim = shape.dim[0]
            if fix_dim(dim):
                num_fixed += 1
    return num_fixed
",if fix_dim ( dim ) :,90
"def isMasterFromActiveLogins(self, chat_id):
    with self.bot.database as conn:
        cur = conn.cursor()
        cur.execute(""select count(1) from telegram_logins where uid = ?"", [chat_id])
        res = cur.fetchone()
        if res[0] == 1:
            return True
        return False
",if res [ 0 ] == 1 :,91
"def wrapper(cached=True, reset=False):
    nonlocal cached_python_dir
    if not cached or not cached_python_dir or reset:
        python_dir = os.environ.get(""_PYTHON_DIR_"") or load_settings(lazy=True).get(
            ""python_dir""
        )
        if python_dir:  # no cov
            if python_dir == ""isolated"":
                python_dir = PYTHON_DIR_ISOLATED
            elif python_dir == ""shared"":
                python_dir = PYTHON_DIR_SHARED
        else:  # no cov
            python_dir = PYTHON_DIR_SHARED
        cached_python_dir = python_dir
    return cached_python_dir
","if python_dir == ""isolated"" :",183
"def _handle_call(self, call):
    if call is None or self.type is not MessageType.call:
        self.call = None
        return
    # we get the participant source from the mentions array or
    # the author
    participants = []
    for uid in map(int, call.get(""participants"", [])):
        if uid == self.author.id:
            participants.append(self.author)
        else:
            user = utils.find(lambda u: u.id == uid, self.mentions)
            if user is not None:
                participants.append(user)
    call[""participants""] = participants
    self.call = CallMessage(message=self, **call)
",if user is not None :,185
"def extract(self, im: np.ndarray, debug_save_name=None):
    with fluid.dygraph.guard():
        if debug_save_name is not None:
            np.savez(debug_save_name, im)
        im = n2p(im)
        output_features = self.net.extract_backbone_features(im)
        # Store the raw backbone features which are input to estimator
        output = TensorList([layer.numpy() for layer in output_features])
        return output
",if debug_save_name is not None :,130
"def parseNode(self, node):
    for child in node.childNodes:
        if child.nodeType == ELEMENT_NODE:
            if child.tagName == ""Old"":
                try:
                    self.parseOld(child.childNodes[0].nodeValue)
                except IndexError:
                    raise ValidationError(""Old cannot be empty"", ""??"")
            elif child.tagName == ""New"":
                try:
                    self.parseNew(child.childNodes[0].nodeValue)
                except IndexError:
                    raise ValidationError(""New cannot be empty"", ""??"")
","if child . tagName == ""Old"" :",162
"def _compute_bounds_2d(vals):
    minval = np.inf
    maxval = -np.inf
    for i in range(vals.shape[0]):
        for j in range(vals.shape[1]):
            v = vals[i][j]
            if not np.isnan(v):
                if v < minval:
                    minval = v
                if v > maxval:
                    maxval = v
    return minval, maxval
",if v > maxval :,122
"def truncate(s, n):
    """"""Return s truncated to n characters.""""""
    if len(s) <= n:
        return s
    else:
        s2 = s[: n - 3] + ""...(%s)"" % len(s)
        if s.endswith(""\n""):
            return s2 + ""\n""
        else:
            return s2
","if s . endswith ( ""\n"" ) :",92
"def draw(self):
    try:
        if self.env.cmd.show_obj.draw_bookmarks:
            self._draw_bookmarks()
    except AttributeError:
        if self.need_clear:
            self.win.erase()
            self.need_redraw = True
            self.need_clear = False
        DisplayableContainer.draw(self)
",if self . need_clear :,98
"def _parse_struct_fields(inner):
    fields = []
    field_tuples = _split_struct_fields(inner)
    for (name, value) in field_tuples:
        field = {}
        field[""name""] = name
        simple_type, inner = _parse_type(value)
        field[""type""] = simple_type
        if inner:
            field.update(_parse_complex(simple_type, inner))
        fields.append(field)
    return fields
",if inner :,123
"def on_task_learn(self, task, config):
    config = self.prepare_config(config)
    with Session() as session:
        for entry in task.all_entries:
            if entry.state not in config[""state""]:
                continue
            entry[""digest_task""] = task.name
            entry[""digest_state""] = entry.state
            session.add(DigestEntry(list=config[""list""], entry=entry))
","if entry . state not in config [ ""state"" ] :",115
